VvINV2,VvACYT,VvADH1,VvAGPL,VvHP,VvDMR6,VvLOX,VvOLP,VvSAMT,VvSUSY,VvWRKY,VvCASY,VvCKO,VvGLC1,VvGLC2,VvGLC3,status
0.308620922,NA,1.528595284,-0.21255982,0.463021594,-0.60061766,-0.362636368,-0.46193309,NA,NA,0.403540973,0.21468175,2.245375693,0.897302976,0.029455485,0.612675228,0
-0.548036731,-0.773737438,-0.026776238,-0.101095467,-0.198442705,-0.483660169,-0.349110738,0.584852746,-0.543562833,NA,-0.474672089,-0.472997437,-0.56827777,-0.567197331,1.010242242,-0.534258878,0
0.549470358,NA,1.014402317,-0.109297382,0.102505449,0.029682982,0.108520526,-0.603916094,-0.904111798,0.322315721,-0.922400187,-0.690972767,0.012894756,-0.558942083,0.594203064,-0.831205206,0
0.760454418,0.817499797,0.462341892,0.834188152,-0.032701816,0.738000433,1.129055751,0.260789099,0.095439814,0.472123333,0.371840771,-0.049597607,0.385651058,1.471053935,1.322573036,0.459326748,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
0.524111773,0.43467915,NA,NA,-0.422727882,NA,0.084843012,0.535855382,0.086651227,NA,NA,NA,NA,NA,NA,0.358325913,0
-0.613463634,-0.868775621,-1.181171792,-0.582252695,1.851593278,-0.486674717,0.15489662,-0.905201295,-0.483514552,0.481601151,0.543700125,0.558700171,-0.569326465,-0.503649077,-0.594876863,NA,0
-0.435117545,0.652601405,0.165320148,-0.536682145,1.475388927,0.531996546,-1.112694363,-0.492572341,-0.560358093,-0.005761656,1.138481195,-0.812231329,-0.15926095,-0.420015549,-0.523630804,0.382632296,0
0.413817604,1.088154576,0.367108134,0.1804871,-0.886529866,-0.699673155,1.694164064,1.23513372,0.468178302,0.43368867,-0.598560558,0.372384013,-0.047614968,0.530946171,0.049439123,0.096563604,0
1.711477864,0.352812635,1.708604425,2.274741726,0.041820254,0.15810694,0.491162942,0.704409935,1.707450132,1.666455505,0.303798415,1.822539931,1.617310008,0.620318855,0.610065575,1.26119988,0
-0.188641454,-0.305032889,-0.42579163,-0.282824199,0.328070021,-0.129757731,-0.053586107,-0.659866542,-0.639145786,-0.252502227,-0.297836216,-0.210299857,0.266505327,-0.392595201,-0.43467947,-0.313689961,0
-0.58853464,0.789239825,0.714041839,-1.141743839,NA,NA,NA,NA,-1.101343495,-1.470043556,-0.91890458,NA,-1.249533768,-0.335079261,-0.585765413,-0.970184547,0
-0.859974579,-1.159532854,-0.701665497,-0.965389526,-0.625902988,-0.067894223,-0.992261951,-1.067260104,NA,-1.133479002,0.596869253,-0.520210327,-1.13116996,NA,-0.705206356,-0.973103823,0
NA,-0.846342448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
-0.216300427,-0.451868206,0.098391112,NA,-0.141363127,-1.695098737,5.194983618,-0.17416111,-0.539754668,-0.806230397,-1.336736745,-0.472009043,-0.535668648,-0.058731252,0.394990513,-1.375430381,0
-0.886714047,-0.23598533,-0.996989606,-0.842733951,-0.596734315,0.010569107,-0.635619429,0.172126933,-0.646406478,-1.073901789,-0.858989788,-1.064672945,-1.184513115,-0.538800777,0.202063449,-0.627175835,0
-0.880521806,-0.90461043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,-0.214426176,0.379342725,-0.259420268,-1.545616544,0.679194515,-0.446821826,-0.185689451,NA,-0.048505177,-1.783843501,0.424228522,-0.25297404,0.915102393,4.182054994,-1.337433734,0
-0.053119214,0.372915089,-0.420550479,0.255422711,-0.502831044,0.523431969,NA,-0.147726637,-0.033747723,-0.716092027,-0.870911174,-0.609703601,0.578688824,-0.322244572,0.115563562,-0.479700268,0
NA,-1.049989047,NA,NA,NA,-2.331879997,NA,NA,-0.425964072,-0.202273753,NA,0.607761077,0.18269326,NA,NA,NA,0
NA,2.020442298,NA,NA,NA,5.244897684,NA,-0.84559259,-0.521630777,-0.634691028,3.949291011,0.453521848,NA,-0.527494739,-0.606363917,0.399785087,0
NA,0.622302054,NA,0.109342066,-1.62288025,1.534423929,-0.763465766,2.959457569,NA,-0.331537763,-1.116379421,NA,NA,-0.295762947,NA,-0.760076568,1
1.704699792,-3.906576895,-1.087188732,NA,-0.846825595,5.2430454,2.266158476,11.62865021,2.014702185,-0.08365565,13.28636624,3.611721713,-0.815270596,NA,18.00046265,-0.083059888,1
0.831970635,0.30299351,-0.162040056,1.165607036,-1.344566597,-1.602453576,NA,-0.387705406,0.530290566,-0.190824806,-0.035979757,0.440647356,-0.195950144,-0.05812369,0.581575426,0.007795416,1
NA,-0.508679488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,1.74396072,NA,NA,NA,NA,NA,NA,-0.881555918,NA,-3.356974221,NA,NA,NA,18.5970843,NA,1
0.126119196,-0.559663973,0.548886159,0.186615472,-0.538872409,6.055987866,0.360317034,5.625840914,0.308353359,-0.018849921,2.126697279,0.553294615,-0.317901684,0.634444983,4.633637005,1.51483363,0
0.603263455,-0.474689832,0.078410044,5.384902471,1.377607759,8.900343101,1.941753651,6.086014941,4.93785467,-0.530479548,5.865629316,0.281396678,-1.284087073,2.146501069,5.851638902,3.341424908,1
NA,-2.065599984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
0.310832641,0.401231973,0.530147171,-0.047325609,NA,NA,NA,-0.198659563,NA,0.257557646,0.143213199,NA,-0.454825374,NA,0.006903156,0.091292058,0
1.945061065,-1.267415524,0.918208484,0.292142781,-0.020531787,-0.494100498,NA,NA,7.150960285,NA,4.103381897,5.642673776,5.656632544,0.517738656,-0.343839156,13.18019606,0
NA,NA,2.768120211,1.507828791,3.750734243,-0.070651047,-0.404611686,-0.626902085,NA,1.116850967,-0.018379832,3.432217619,NA,0.129445416,-0.385392818,1.027200332,0
-0.055957877,NA,0.386454338,1.136009477,-0.127252965,-0.369482828,0.323097267,NA,-0.352139475,0.845986194,0.874138372,0.742888867,-0.419558626,NA,-0.409025082,NA,0
-0.380799141,NA,-1.320755101,-1.235665863,-1.244384198,NA,NA,-0.659813481,-0.244149824,-1.147329657,-1.216390097,-1.048915947,-0.528341357,-0.461099111,-0.4028073,-0.658018652,0
-0.614399252,NA,NA,-0.081254345,-0.063796952,-0.336541812,NA,-0.609198012,-0.216612934,-0.331872808,0.054304617,-0.322040654,0.013163365,NA,-0.38519163,0.153876601,0
NA,0.794557133,1.140549705,0.056976588,0.0101933,0.401531111,0.349099491,1.467671057,-1.313385468,1.678020572,1.236983515,NA,2.934206952,1.891311642,1.471462351,2.547246726,0
-0.280091937,1.067652234,0.501817343,0.61186966,0.440442059,-0.395780089,1.176167309,NA,0.02901059,-0.040428684,0.320880677,0.739009005,-0.320072271,-0.311496907,-0.448518075,0.021162562,0
-0.358015953,-0.006821564,0.682683457,-0.246594593,1.744202965,-0.483145726,-0.461419499,NA,-0.113448582,0.508332605,-0.25281766,1.11726157,0.477866248,-0.444475745,-0.438600432,-0.230623298,0
